Customer ID,Customer Name,Loyalty Reward Points,Segment,Date,Fraction
AS-10225,Alan Schoenberger,926,Corporate,24/02/2000,92.6
AS-10240,Alan Shonely,227,Consumer,25/02/2000,22.7
AS-10285,Alejandro Savely,26,Corporate,26/02/2000,2.6
AS-10630,Ann Steele,378,Home Office,27/02/2000,37.8
AT-10435,Alyssa Tate,646,Home Office,28/02/2000,64.6
AT-10735,Annie Thurman,716,Consumer,29/02/2000,71.6
AW-10840,Anthony Witt,161,Consumer,01/03/2000,16.1
AW-10930,Arthur Wiediger,775,Home Office,02/03/2000,77.5
AY-10555,Andy Yotov,701,Corporate,03/03/2000,70.1
AZ-10750,Annie Zypern,199,Consumer,04/03/2000,19.9
BB-10990,Barry Blumstein,569,Corporate,05/03/2000,56.9
BB-11545,Brenda Bowman,345,Corporate,06/03/2000,34.5
BC-11125,Becky Castell,143,Home Office,07/03/2000,14.3
BD-11320,Bill Donatelli,32,Consumer,08/03/2000,3.2
BD-11500,Bradley Drucker,503,Consumer,09/03/2000,50.3
BD-11560,Brendan Dodson,997,Home Office,10/03/2000,99.7
BD-11605,Brian Dahlen,705,Consumer,11/03/2000,70.5
BD-11620,Brian DeCherney,497,Consumer,12/03/2000,49.7
BD-11635,Brian Derr,511,Consumer,13/03/2000,51.1
BD-11725,Bruce Degenhardt,226,Consumer,14/03/2000,22.6
BD-11770,Bryan Davis,543,Consumer,15/03/2000,54.3
BE-11335,Bill Eplett,749,Home Office,16/03/2000,74.9
BE-11410,Bobby Elias,445,Consumer,17/03/2000,44.5
BE-11455,Brad Eason,234,Home Office,18/03/2000,23.4
BF-10975,Barbara Fisher,559,Corporate,19/03/2000,55.9
BF-11005,Barry Franz,697,Home Office,20/03/2000,69.7
BF-11020,Barry Französisch,338,Corporate,21/03/2000,33.8
BF-11080,Bart Folk,266,Consumer,22/03/2000,26.6
BF-11170,Ben Ferrer,471,Home Office,23/03/2000,47.1
BF-11215,Benjamin Farhat,756,Home Office,24/03/2000,75.6
BF-11275,Beth Fritzler,555,Corporate,25/03/2000,55.5
BG-11035,Barry Gonzalez,398,Consumer,26/03/2000,39.8
BG-11695,Brooke Gillingham,534,Corporate,27/03/2000,53.4
BG-11740,Bruce Geld,155,Consumer,28/03/2000,15.5
BH-11710,Brosina Hoffman,676,Consumer,29/03/2000,67.6
BK-11260,Berenike Kampe,852,Consumer,30/03/2000,85.2
BM-11140,Becky Martin,525,Consumer,31/03/2000,52.5
BM-11575,Brendan Murry,31,Corporate,01/04/2000,3.1
BM-11650,Brian Moss,825,Corporate,02/04/2000,82.5
BM-11785,Bryan Mills,220,Consumer,03/04/2000,22.0
BN-11470,Brad Norvell,977,Corporate,04/04/2000,97.7
BN-11515,Bradley Nguyen,681,Consumer,05/04/2000,68.1
BO-11350,Bill Overfelt,262,Corporate,06/04/2000,26.2
BO-11425,Bobby Odegard,429,Consumer,07/04/2000,42.9
BP-11050,Barry Pond,424,Corporate,08/04/2000,42.4
BP-11095,Bart Pistole,654,Corporate,09/04/2000,65.4
BP-11155,Becky Pak,41,Consumer,10/04/2000,4.1
BP-11185,Ben Peterman,68,Corporate,11/04/2000,6.8
BP-11230,Benjamin Patterson,95,Consumer,12/04/2000,9.5
BP-11290,Beth Paige,51,Consumer,13/04/2000,5.1
BS-11365,Bill Shonely,15,Corporate,14/04/2000,1.5
BS-11380,Bill Stewart,760,Corporate,15/04/2000,76.0
BS-11590,Brendan Sweed,848,Corporate,16/04/2000,84.8
BS-11665,Brian Stugart,995,Consumer,17/04/2000,99.5
BS-11755,Bruce Stewart,744,Consumer,18/04/2000,74.4
BS-11800,Bryan Spruell,467,Home Office,19/04/2000,46.7
BT-11305,Beth Thompson,6,Home Office,20/04/2000,0.6
BT-11395,Bill Tyler,292,Corporate,21/04/2000,29.2
BT-11440,Bobby Trafton,553,Consumer,22/04/2000,55.3
BT-11485,Brad Thomas,218,Home Office,23/04/2000,21.8
BT-11530,Bradley Talbott,12,Home Office,24/04/2000,1.2
BT-11680,Brian Thompson,611,Consumer,25/04/2000,61.1
BV-11245,Benjamin Venier,463,Corporate,26/04/2000,46.3
BW-11065,Barry Weirich,150,Consumer,27/04/2000,15.0
BW-11110,Bart Watters,890,Corporate,28/04/2000,89.0
BW-11200,Ben Wallace,118,Consumer,29/04/2000,11.8
CA-11965,Carol Adams,501,Corporate,30/04/2000,50.1
CA-12055,Cathy Armstrong,490,Home Office,01/05/2000,49
CA-12265,Christina Anderson,574,Consumer,02/05/2000,57.4
CA-12310,Christine Abelman,994,Corporate,03/05/2000,99.4
CA-12775,Cynthia Arntzen,48,Consumer,04/05/2000,4.8
CB-12025,Cassandra Brandow,13,Consumer,05/05/2000,1.3
CB-12415,Christy Brittain,248,Consumer,06/05/2000,24.8
CB-12535,Claudia Bergmann,930,Corporate,07/05/2000,93.0
CC-12100,Chad Cunningham,244,Home Office,08/05/2000,24.4
CC-12145,Charles Crestani,951,Consumer,09/05/2000,95.1
CC-12220,Chris Cortes,452,Consumer,10/05/2000,45.2
CC-12370,Christopher Conant,309,Consumer,11/05/2000,30.9
CC-12430,Chuck Clark,64,Home Office,12/05/2000,6.4
CC-12475,Cindy Chapman,308,Consumer,13/05/2000,30.8
CC-12550,Clay Cheatham,513,Consumer,14/05/2000,51.3
CC-12610,Corey Catlett,973,Corporate,15/05/2000,97.3
CC-12670,Craig Carreira,162,Consumer,16/05/2000,16.2
CC-12685,Craig Carroll,857,Consumer,17/05/2000,85.7
CD-11920,Carlos Daly,155,Consumer,18/05/2000,15.5
CD-11980,Carol Darley,966,Consumer,19/05/2000,96.6
CD-12280,Christina DeMoss,377,Consumer,20/05/2000,37.7
CD-12790,Cynthia Delaney,772,Home Office,21/05/2000,77.2
CG-12040,Catherine Glotzbach,42,Home Office,22/05/2000,4.2
CG-12520,Claire Gute,888,Consumer,23/05/2000,88.8
CH-12070,Cathy Hwang,652,Home Office,24/05/2000,65.2
CJ-11875,Carl Jackson,587,Corporate,25/05/2000,58.7
CJ-12010,Caroline Jumper,187,Consumer,26/05/2000,18.7
CK-12205,Chloris Kastensmidt,397,Consumer,27/05/2000,39.7
CK-12325,Christine Kargatis,733,Home Office,28/05/2000,73.3
CK-12595,Clytie Kelty,76,Consumer,29/05/2000,7.6
CK-12760,Cyma Kinney,510,Corporate,30/05/2000,51
CL-11890,Carl Ludwig,845,Consumer,31/05/2000,84.5
CL-12565,Clay Ludtke,560,Consumer,01/06/2000,56
CL-12700,Craig Leslie,550,Home Office,02/06/2000,55
CM-11815,Candace McMahon,430,Corporate,03/06/2000,43
CM-11935,Carlos Meador,144,Consumer,04/06/2000,14.4
CM-12115,Chad McGuire,747,Consumer,05/06/2000,74.7
CM-12160,Charles McCrossin,71,Consumer,06/06/2000,7.1
CM-12190,Charlotte Melton,908,Consumer,07/06/2000,90.8
CM-12235,Chris McAfee,547,Consumer,08/06/2000,54.7
CM-12385,Christopher Martinez,560,Consumer,09/06/2000,56
CM-12445,Chuck Magee,596,Consumer,10/06/2000,59.6
CM-12655,Corinna Mitchell,143,Home Office,11/06/2000,14.3
CM-12715,Craig Molinari,464,Corporate,12/06/2000,46.4
Co-12640,Corey-Lock,11,Consumer,13/06/2000,1.1
CP-12085,Cathy Prescott,563,Corporate,14/06/2000,56.3
CP-12340,Christine Phan,261,Corporate,15/06/2000,26.1
CR-12580,Clay Rozendal,391,Home Office,16/06/2000,39.1
CR-12625,Corey Roper,75,Home Office,17/06/2000,7.5
CR-12730,Craig Reiter,852,Consumer,18/06/2000,85.2
CR-12820,Cyra Reiten,213,Home Office,19/06/2000,21.3
CS-11845,Cari Sayre,567,Corporate,20/06/2000,56.7
CS-11860,Cari Schnelling,232,Consumer,21/06/2000,23.2
CS-11950,Carlos Soltero,369,Consumer,22/06/2000,36.9
CS-12130,Chad Sievert,747,Consumer,23/06/2000,74.7
CS-12175,Charles Sheldon,125,Corporate,24/06/2000,12.5
CS-12250,Chris Selesnick,454,Corporate,25/06/2000,45.4
CS-12355,Christine Sundaresam,356,Consumer,26/06/2000,35.6
CS-12400,Christopher Schild,570,Home Office,27/06/2000,57
CS-12460,Chuck Sachs,738,Consumer,28/06/2000,73.8
CS-12490,Cindy Schnelling,366,Corporate,29/06/2000,36.6
CS-12505,Cindy Stewart,224,Consumer,30/06/2000,22.4
CT-11995,Carol Triggs,446,Consumer,01/07/2000,44.6
CV-12295,Christina VanderZanden,465,Consumer,02/07/2000,46.5
CV-12805,Cynthia Voltz,531,Corporate,03/07/2000,53.1
CW-11905,Carl Weiss,18,Home Office,04/07/2000,1.8
CY-12745,Craig Yedwab,213,Corporate,05/07/2000,21.3
DA-13450,Dianna Arnett,431,Home Office,06/07/2000,43.1
DB-12910,Daniel Byrd,811,Home Office,07/07/2000,81.1
DB-12970,Darren Budd,898,Corporate,08/07/2000,89.8
DB-13060,Dave Brooks,411,Consumer,09/07/2000,41.1
DB-13120,David Bremer,635,Corporate,10/07/2000,63.5
DB-13210,Dean Braden,33,Consumer,11/07/2000,3.3
DB-13270,Deborah Brumfield,396,Home Office,12/07/2000,39.6
DB-13360,Dennis Bolton,689,Home Office,13/07/2000,68.9
DB-13405,Denny Blanton,719,Consumer,14/07/2000,71.9
DB-13555,Dorothy Badders,187,Corporate,15/07/2000,18.7
DB-13615,Doug Bickford,614,Consumer,16/07/2000,61.4
DB-13660,Duane Benoit,966,Consumer,17/07/2000,96.6
DC-12850,Dan Campbell,314,Consumer,18/07/2000,31.4
DC-13285,Debra Catini,870,Consumer,19/07/2000,87
DD-13570,Dorothy Dickinson,657,Consumer,20/07/2000,65.7
DE-13255,Deanra Eno,300,Home Office,21/07/2000,30
DF-13135,David Flashing,609,Consumer,22/07/2000,60.9
DG-13300,Deirdre Greer,338,Corporate,23/07/2000,33.8
DH-13075,Dave Hallsten,165,Corporate,24/07/2000,16.5
DH-13675,Duane Huffman,445,Home Office,25/07/2000,44.5
DJ-13420,Denny Joy,768,Corporate,26/07/2000,76.8
DJ-13510,Don Jones,481,Corporate,27/07/2000,48.1
DJ-13630,Doug Jacobs,465,Consumer,28/07/2000,46.5
DK-12835,Damala Kotsonis,450,Corporate,29/07/2000,45
DK-12895,Dana Kaydos,7,Consumer,30/07/2000,0.7
DK-12985,Darren Koutras,854,Consumer,31/07/2000,85.4
DK-13090,Dave Kipp,948,Consumer,01/08/2000,94.8
DK-13150,David Kendrick,596,Corporate,02/08/2000,59.6
DK-13225,Dean Katz,76,Corporate,03/08/2000,7.6
DK-13375,Dennis Kane,518,Consumer,04/08/2000,51.8
DL-12865,Dan Lawera,44,Consumer,05/08/2000,4.4
DL-12925,Daniel Lacy,646,Consumer,06/08/2000,64.6
DL-13315,Delfina Latchford,53,Consumer,07/08/2000,5.3
DL-13330,Denise Leinenbach,997,Consumer,08/08/2000,99.7
DL-13495,Dionis Lloyd,341,Corporate,09/08/2000,34.1
Dl-13600,Dorris liebe,17,Corporate,10/08/2000,1.7
DM-12955,Dario Medina,856,Corporate,11/08/2000,85.6
DM-13015,Darrin Martin,572,Consumer,12/08/2000,57.2
DM-13345,Denise Monton,290,Corporate,13/08/2000,29
DM-13525,Don Miller,787,Corporate,14/08/2000,78.7
DN-13690,Duane Noonan,410,Consumer,15/08/2000,41
DO-13435,Denny Ordway,764,Consumer,16/08/2000,76.4
DO-13645,Doug O'Connell,508,Consumer,17/08/2000,50.8
DP-13000,Darren Powers,252,Consumer,18/08/2000,25.2
DP-13105,Dave Poirier,802,Corporate,19/08/2000,80.2
DP-13165,David Philippe,811,Consumer,20/08/2000,81.1
Dp-13240,Dean percer,945,Home Office,21/08/2000,94.5
DP-13390,Dennis Pardue,364,Home Office,22/08/2000,36.4
DR-12880,Dan Reichenbach,478,Corporate,23/08/2000,47.8
DR-12940,Daniel Raglin,40,Home Office,24/08/2000,4
DS-13030,Darrin Sayre,450,Home Office,25/08/2000,45
DS-13180,David Smith,444,Corporate,26/08/2000,44.4
DV-13045,Darrin Van Huff,247,Corporate,27/08/2000,24.7
DV-13465,Dianna Vittorini,554,Consumer,28/08/2000,55.4
DW-13195,David Wiener,369,Corporate,29/08/2000,36.9
DW-13480,Dianna Wilson,318,Home Office,30/08/2000,31.8
DW-13540,Don Weiss,971,Consumer,31/08/2000,97.1
DW-13585,Dorothy Wardle,155,Corporate,01/09/2000,15.5
EA-14035,Erin Ashbrook,158,Corporate,02/09/2000,15.8
EB-13705,Ed Braxton,815,Corporate,03/09/2000,81.5
EB-13750,Edward Becker,274,Corporate,04/09/2000,27.4
EB-13840,Ellis Ballard,699,Corporate,05/09/2000,69.9
EB-13870,Emily Burns,899,Consumer,06/09/2000,89.9
EB-13930,Eric Barreto,931,Consumer,07/09/2000,93.1
EB-13975,Erica Bern,806,Corporate,08/09/2000,80.6
EB-14110,Eugene Barchas,272,Consumer,09/09/2000,27.2
EB-14170,Evan Bailliet,396,Consumer,10/09/2000,39.6
EC-14050,Erin Creighton,17,Consumer,11/09/2000,1.7
ED-13885,Emily Ducich,376,Home Office,12/09/2000,37.6
EG-13900,Emily Grady,651,Consumer,13/09/2000,65.1
EH-13765,Edward Hooks,341,Corporate,14/09/2000,34.1
EH-13945,Eric Hoffmann,766,Consumer,15/09/2000,76.6
EH-13990,Erica Hackney,636,Consumer,16/09/2000,63.6
EH-14005,Erica Hernandez,731,Home Office,17/09/2000,73.1
EH-14125,Eugene Hildebrand,298,Home Office,18/09/2000,29.8
EH-14185,Evan Henry,961,Consumer,19/09/2000,96.1
EJ-13720,Ed Jacobs,548,Consumer,20/09/2000,54.8
EJ-14155,Eva Jacobs,856,Consumer,21/09/2000,85.6
EK-13795,Eileen Kiefer,660,Home Office,22/09/2000,66
EL-13735,Ed Ludwig,687,Home Office,23/09/2000,68.7
EM-13810,Eleni McCrary,684,Corporate,24/09/2000,68.4
EM-13825,Elizabeth Moffitt,127,Corporate,25/09/2000,12.7
EM-13960,Eric Murdock,462,Consumer,26/09/2000,46.2
EM-14065,Erin Mull,645,Consumer,27/09/2000,64.5
EM-14095,Eudokia Martin,840,Corporate,28/09/2000,84
EM-14140,Eugene Moren,247,Home Office,29/09/2000,24.7
EM-14200,Evan Minnotte,585,Home Office,30/09/2000,58.5
EN-13780,Edward Nazzal,867,Consumer,01/10/2000,86.7
EP-13915,Emily Phan,105,Consumer,02/10/2000,10.5
ER-13855,Elpida Rittenbach,139,Corporate,03/10/2000,13.9
ES-14020,Erica Smith,84,Consumer,04/10/2000,8.4
ES-14080,Erin Smith,498,Corporate,05/10/2000,49.8
FA-14230,Frank Atkinson,435,Corporate,06/10/2000,43.5
FC-14245,Frank Carlisle,438,Home Office,07/10/2000,43.8
FC-14335,Fred Chung,400,Corporate,08/10/2000,40
FG-14260,Frank Gastineau,265,Home Office,09/10/2000,26.5
FH-14275,Frank Hawley,834,Corporate,10/10/2000,83.4
FH-14350,Fred Harton,215,Consumer,11/10/2000,21.5
FH-14365,Fred Hopkins,604,Corporate,12/10/2000,60.4
FM-14215,Filia McAdams,999,Corporate,13/10/2000,99.9
FM-14290,Frank Merwin,992,Home Office,14/10/2000,99.2
FM-14380,Fred McMath,957,Consumer,15/10/2000,95.7
FO-14305,Frank Olsen,567,Consumer,16/10/2000,56.7
FP-14320,Frank Preis,377,Consumer,17/10/2000,37.7
FW-14395,Fred Wasserman,709,Corporate,18/10/2000,70.9
GA-14515,George Ashbrook,387,Consumer,19/10/2000,38.7
GA-14725,Guy Armstrong,50,Consumer,20/10/2000,5
GB-14530,George Bell,279,Corporate,21/10/2000,27.9
GB-14575,Giulietta Baptist,586,Consumer,22/10/2000,58.6
GD-14590,Giulietta Dortch,659,Corporate,23/10/2000,65.9
GG-14650,Greg Guthrie,68,Corporate,24/10/2000,6.8
GH-14410,Gary Hansen,913,Home Office,25/10/2000,91.3
GH-14425,Gary Hwang,758,Consumer,26/10/2000,75.8
GH-14485,Gene Hale,993,Corporate,27/10/2000,99.3
GH-14665,Greg Hansen,174,Consumer,28/10/2000,17.4
GK-14620,Grace Kelly,727,Corporate,29/10/2000,72.7
GM-14440,Gary McGarr,21,Consumer,30/10/2000,2.1
GM-14455,Gary Mitchum,774,Home Office,31/10/2000,77.4
GM-14500,Gene McClure,705,Consumer,01/11/2000,70.5
GM-14680,Greg Matthias,371,Consumer,02/11/2000,37.1
GM-14695,Greg Maxwell,908,Corporate,03/11/2000,90.8
GP-14740,Guy Phonely,745,Corporate,04/11/2000,74.5
GR-14560,Georgia Rosenberg,322,Corporate,05/11/2000,32.2
GT-14635,Grant Thornton,442,Corporate,06/11/2000,44.2
GT-14710,Greg Tran,623,Consumer,07/11/2000,62.3
GT-14755,Guy Thornton,367,Consumer,08/11/2000,36.7
GW-14605,Giulietta Weimer,926,Consumer,09/11/2000,92.6
GZ-14470,Gary Zandusky,531,Consumer,10/11/2000,53.1
GZ-14545,George Zrebassa,231,Corporate,11/11/2000,23.1
HA-14905,Helen Abelman,737,Consumer,12/11/2000,73.7
HA-14920,Helen Andreada,714,Consumer,13/11/2000,71.4
HD-14785,Harold Dahlen,203,Home Office,14/11/2000,20.3
HE-14800,Harold Engle,351,Corporate,15/11/2000,35.1
HF-14995,Herbert Flentye,850,Consumer,16/11/2000,85
HG-14845,Harry Greene,223,Consumer,17/11/2000,22.3
HG-14965,Henry Goldwyn,63,Corporate,18/11/2000,6.3
HG-15025,Hunter Glantz,637,Consumer,19/11/2000,63.7
HH-15010,Hilary Holden,381,Corporate,20/11/2000,38.1
HJ-14875,Heather Jas,529,Home Office,21/11/2000,52.9
HK-14890,Heather Kirkland,648,Corporate,22/11/2000,64.8
HL-15040,Hunter Lopez,260,Consumer,23/11/2000,26
HM-14860,Harry Marie,814,Corporate,24/11/2000,81.4
HM-14980,Henry MacAllister,689,Consumer,25/11/2000,68.9
HP-14815,Harold Pawlan,188,Home Office,26/11/2000,18.8
HR-14770,Hallie Redmond,512,Home Office,27/11/2000,51.2
HR-14830,Harold Ryan,167,Corporate,28/11/2000,16.7
HW-14935,Helen Wasserman,310,Corporate,29/11/2000,31
HZ-14950,Henia Zydlo,408,Consumer,30/11/2000,40.8
IG-15085,Ivan Gibson,213,Consumer,01/12/2000,21.3
IL-15100,Ivan Liston,995,Consumer,02/12/2000,99.5
IM-15055,Ionia McGrath,181,Consumer,03/12/2000,18.1
IM-15070,Irene Maddox,57,Consumer,04/12/2000,5.7
JA-15970,Joseph Airdo,733,Consumer,05/12/2000,73.3
JB-15400,Jennifer Braxton,66,Corporate,06/12/2000,6.6
JB-15925,Joni Blumstein,189,Consumer,07/12/2000,18.9
JB-16000,Joy Bell-,258,Consumer,08/12/2000,25.8
JB-16045,Julia Barnett,209,Home Office,09/12/2000,20.9
JC-15340,Jasper Cacioppo,182,Consumer,10/12/2000,18.2
JC-15385,Jenna Caffey,611,Consumer,11/12/2000,61.1
JC-15775,John Castell,644,Consumer,12/12/2000,64.4
JC-16105,Julie Creighton,203,Corporate,13/12/2000,20.3
JD-15790,John Dryer,586,Consumer,14/12/2000,58.6
JD-15895,Jonathan Doherty,78,Corporate,15/12/2000,7.8
JD-16015,Joy Daniels,659,Consumer,16/12/2000,65.9
JD-16060,Julia Dunbar,519,Consumer,17/12/2000,51.9
JD-16150,Justin Deggeller,90,Corporate,18/12/2000,9
JE-15475,Jeremy Ellison,197,Consumer,19/12/2000,19.7
JE-15610,Jim Epp,314,Corporate,20/12/2000,31.4
JE-15715,Joe Elijah,320,Consumer,21/12/2000,32
JE-15745,Joel Eaton,20,Consumer,22/12/2000,2
JE-16165,Justin Ellison,348,Corporate,23/12/2000,34.8
JF-15190,Jamie Frazer,504,Consumer,24/12/2000,50.4
JF-15295,Jason Fortune-,804,Consumer,25/12/2000,80.4
JF-15355,Jay Fein,752,Consumer,26/12/2000,75.2
JF-15415,Jennifer Ferguson,239,Consumer,27/12/2000,23.9
JF-15490,Jeremy Farry,393,Consumer,28/12/2000,39.3
JF-15565,Jill Fjeld,621,Consumer,29/12/2000,62.1
JG-15115,Jack Garza,658,Consumer,30/12/2000,65.8
JG-15160,James Galang,805,Consumer,31/12/2000,80.5
JG-15310,Jason Gross,580,Corporate,01/01/2001,58
JG-15805,John Grady,540,Corporate,02/01/2001,54
JH-15430,Jennifer Halladay,673,Consumer,03/01/2001,67.3
JH-15820,John Huston,270,Consumer,04/01/2001,27
JH-15910,Jonathan Howell,105,Consumer,05/01/2001,10.5
JH-15985,Joseph Holt,141,Consumer,06/01/2001,14.1
JH-16180,Justin Hirsh,13,Consumer,07/01/2001,1.3
JJ-15445,Jennifer Jackson,356,Consumer,08/01/2001,35.6
JJ-15760,Joel Jenkins,28,Home Office,09/01/2001,2.8
JK-15205,Jamie Kunitz,764,Consumer,10/01/2001,76.4
JK-15325,Jason Klamczynski,430,Corporate,11/01/2001,43
JK-15370,Jay Kimmel,380,Consumer,12/01/2001,38
JK-15625,Jim Karlsson,319,Consumer,13/01/2001,31.9
JK-15640,Jim Kriz,750,Home Office,14/01/2001,75
JK-15730,Joe Kamberova,621,Consumer,15/01/2001,62.1
JK-16090,Juliana Krohn,441,Consumer,16/01/2001,44.1
JK-16120,Julie Kriz,59,Home Office,17/01/2001,5.9
JL-15130,Jack Lebron,972,Consumer,18/01/2001,97.2
JL-15175,James Lanier,336,Home Office,19/01/2001,33.6
JL-15235,Janet Lee,824,Consumer,20/01/2001,82.4
JL-15505,Jeremy Lonsdale,193,Consumer,21/01/2001,19.3
JL-15835,John Lee,796,Consumer,22/01/2001,79.6
JL-15850,John Lucas,923,Consumer,23/01/2001,92.3
JM-15250,Janet Martin,918,Consumer,24/01/2001,91.8
JM-15265,Janet Molinari,129,Corporate,25/01/2001,12.9
JM-15535,Jessica Myrick,117,Consumer,26/01/2001,11.7
JM-15580,Jill Matthias,466,Consumer,27/01/2001,46.6
JM-15655,Jim Mitchum,755,Corporate,28/01/2001,75.5
JM-15865,John Murray,525,Consumer,29/01/2001,52.5
JM-16195,Justin MacKendrick,916,Consumer,30/01/2001,91.6
JO-15145,Jack O'Briant,937,Corporate,31/01/2001,93.7
JO-15280,Jas O'Carroll,554,Consumer,01/02/2001,55.4
JO-15550,Jesus Ocampo,926,Home Office,02/02/2001,92.6
JP-15460,Jennifer Patt,856,Corporate,03/02/2001,85.6
JP-15520,Jeremy Pistek,21,Consumer,04/02/2001,2.1
JP-16135,Julie Prescott,875,Home Office,05/02/2001,87.5
JR-15670,Jim Radford,728,Consumer,06/02/2001,72.8
JR-15700,Jocasta Rupert,249,Consumer,07/02/2001,24.9
JR-16210,Justin Ritter,519,Corporate,08/02/2001,51.9
JS-15595,Jill Stevenson,269,Corporate,09/02/2001,26.9
JS-15685,Jim Sink,665,Corporate,10/02/2001,66.5
JS-15880,John Stevenson,891,Consumer,11/02/2001,89.1
JS-15940,Joni Sundaresam,387,Home Office,12/02/2001,38.7
JS-16030,Joy Smith,635,Consumer,13/02/2001,63.5
JW-15220,Jane Waco,0,Corporate,14/02/2001,0
JW-15955,Joni Wasserman,305,Consumer,15/02/2001,30.5
JW-16075,Julia West,195,Consumer,16/02/2001,19.5
KA-16525,Kelly Andreada,655,Consumer,17/02/2001,65.5
KB-16240,Karen Bern,246,Corporate,18/02/2001,24.6
KB-16315,Karl Braun,332,Consumer,19/02/2001,33.2
KB-16405,Katrina Bavinger,531,Home Office,20/02/2001,53.1
KB-16585,Ken Black,156,Corporate,21/02/2001,15.6
KB-16600,Ken Brennan,992,Corporate,22/02/2001,99.2
KC-16255,Karen Carlisle,812,Corporate,23/02/2001,81.2
KC-16540,Kelly Collister,518,Consumer,24/02/2001,51.8
KC-16675,Kimberly Carter,470,Corporate,25/02/2001,47
KD-16270,Karen Daniels,266,Consumer,26/02/2001,26.6
KD-16345,Katherine Ducich,718,Consumer,27/02/2001,71.8
KD-16495,Keith Dawkins,555,Corporate,28/02/2001,55.5
KD-16615,Ken Dana,350,Corporate,01/03/2001,35
KE-16420,Katrina Edelman,997,Corporate,02/03/2001,99.7
KF-16285,Karen Ferguson,491,Home Office,03/03/2001,49.1
KH-16330,Katharine Harms,747,Corporate,04/03/2001,74.7
KH-16360,Katherine Hughes,323,Consumer,05/03/2001,32.3
KH-16510,Keith Herrera,974,Consumer,06/03/2001,97.4
